country,country_long,currency,capital_city,region,continent,demonym,latitude,longitude,agricultural_land,forest_area,land_area,rural_land,urban_land,central_government_debt_pct_gdp,expense_pct_gdp,gdp,inflation,self_employed_pct,tax_revenue_pct_gdp,unemployment_pct,vulnerable_employment_pct,electricity_access_pct,alternative_nuclear_energy_pct,electricty_production_coal_pct,electricty_production_hydroelectric_pct,electricty_production_gas_pct,electricty_production_nuclear_pct,electricty_production_oil_pct,electricty_production_renewable_pct,energy_imports_pct,fossil_energy_consumption_pct,renewable_energy_consumption_pct,co2_emissions,methane_emissions,nitrous_oxide_emissions,greenhouse_other_emissions,urban_population_under_5m,health_expenditure_pct_gdp,health_expenditure_capita,hospital_beds,hiv_incidence,suicide_rate,armed_forces,internally_displaced_persons,military_expenditure_pct_gdp,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,net_migration,population_female,population_male,population,women_parliament_seats_pct,rural_population,urban_population,press,democracy_score,democracy_type,median_age,political_leader,title,urban_rural_ratio,gdp_per_land_area
Peru,Republic of Peru,Peruvian new sol,Lima,Tropical,Americas,Peruvian,-1.2167153849738512,-1.618298191523141,0.6252833026465722,2.253239023560613,2.15959437714864,2.097036536594738,0.1227857897599502,-0.6419228756861668,-0.3915048325226839,0.3807495616208436,-0.1005648395792725,0.5154351333800791,-0.0138965851256955,-0.7100508233871515,0.5182762602049843,0.3995318678556283,0.0100078112284301,0.839361,49.1409,45.027,0.0,1.40308,3.58956,-14.8996,79.5557,31.62,46578.9,31679.8,10200.5,-112.878,0.391035,6.30416,388.546,1.59,0.17,2.8,158000.0,73000.0,1.11516,17.622,7.988,2.192,71.1078,72.0,68012,17192503,16857086,34049588,40.0,7249838,26799750,2.59,6.6,Flawed democracy,24.4,Martín Vizcarra,President,0.058552050771292365,0.17630605341895528
Philippines,Republic of the Philippines,Philippine peso,Manila,Tropical,Asia,Filipino,-0.2509216644873622,1.6740539127069118,-0.0436826696757749,-0.0483372277412146,-0.1049686033660832,-0.1193350404788934,1.9473889902962596,-0.4405365292444608,-0.7182473211280072,1.1255436442276492,-0.5054295392811811,-0.173622275043616,-0.3016556402406756,-0.993455203806526,-0.1468307325298566,0.4973653212284888,-0.5110027256626661,44.5148,10.5141,22.9066,0.0,7.14208,14.8993,45.768,62.4349,29.06,133471.0,65722.0,14455.8,4267.34,5.93585,5.60675,193.79,0.99,0.19,2.2,155000.0,102000.0,1.03785,21.813,7.311,2.748,52.6757,69.0,-80125,56879731,58679278,115559009,27.3312,60117263,55441746,1.78,6.71,Flawed democracy,20.8,Rodrigo Duterte,President,-16.318668703520416,-10.722669523402727
Poland,Republic of Poland,Polish zloty,Warsaw,Tropical,Europe,Polish,1.3867285572071193,-0.022006262199479,0.0575409903657144,0.1789875808859599,-0.0864947132994323,-0.0924508860213035,1.9473889902962596,0.0010497856845238,0.7944104089444352,2.083225254999904,0.8816923046749303,-0.7963766999620739,0.4358777061006332,-0.9209610404385344,-0.8086559651539854,0.6272922884062033,-0.725859440908259,80.9062,1.11476,3.88643,0.0,1.28878,12.6876,28.5464,90.2914,16.14,279224.0,29540.4,22864.4,12110.3,1.05831,6.59315,1183.05,6.54,,11.3,189000.0,,2.12041,8.8,13.8,1.33,85.3749,76.0,-2968,19377247,18184352,37561599,28.2609,14974307,22587292,2.71,6.67,Flawed democracy,36.3,Mateusz Morawiecki,Prime Minister,-21.06403815153834,-24.08500098483565
Portugal,Portuguese Republic,Euro,Lisbon,Tropical,Europe,Portuguese,0.8618406656383752,-0.4875914082522138,-0.5425588874195594,-0.4324207524277433,-0.5843716206127795,-0.5913597608196349,0.3330425590396526,-1.419989866370818,1.2283871152257495,0.4236582004951983,-0.181297685430957,-0.9748509617600292,0.862415620742331,-0.2878320697054408,-1.023226033699575,0.6272922884062033,0.1150309199718567,28.7182,16.8873,20.5963,0.0,2.55845,30.639,76.8606,77.0241,31.21,38973.5,11383.2,3092.14,1697.16,0.806068,11.2108,2720.29,3.45,0.07,11.5,52000.0,,2.07276,7.7,12.1,1.38,82.309,81.0,27295,5481814,4897193,10379007,36.9565,3385528,6993479,6.19,7.84,Flawed democracy,41.4,António Costa,Prime Minister,-0.5631809620898957,-0.7249807922755471
Qatar,State of Qatar,Qatari riyal,Doha,Tropical,Asia,Qatari,0.2739662270813818,0.4976200168772338,-0.7578592319281872,-0.7605660125047139,-0.7703071466207916,-0.7785207185431914,-0.7035847305556169,-0.12932866391473954,-0.0441960328296896,0.3561645195255407,-0.6385093419477198,-1.512727090356153,-0.1425322358618739,-1.4202546326461043,-1.3788778827052433,0.6272922884062033,-0.865132367660909,0.0,0.0,100.0,0.0,0.0,0.0,-398.991,99.995,0.06,87578.3,30708.4,602.919,-13100.1,5.86989,4.18304,2188.38,1.25,0.07,5.8,22000.0,,4.80681,9.816,1.311,1.801,100.0,79.0,-30801,740889,1954233,2695122,4.44444,18381,2676741,1.84,3.19,Authoritarian,29.6,Sheikh Tamim bin Hamad Al Thani,Emir,0.9037456727833799,-0.4623668897373921
Romania,Romania,New Romanian leu,Bucharest,Tropical,Europe,Romanian,1.134782369254122,0.061133942452795,0.0082327125179564,-0.0740518475480916,-0.2629946303306887,-0.2460940472378422,0.6183315766031986,-0.1235106401919331,0.7460181214920943,0.6508809368171729,0.7795314642494622,-0.955545179839102,-0.1773940666476955,-0.356542197073455,-0.8779267365997903,0.6272922884062033,0.903529745231332,27.6387,25.2313,14.238,17.9074,0.719032,14.5156,16.7755,72.5237,24.06,68664.0,16459.0,9151.86,-5670.82,0.246959,6.27236,809.589,6.89,0.04,9.7,126000.0,,1.95392,9.3,17.5,1.8,83.5904,73.0,-12724,9787040,9169625,18956666,19.0909,8627368,10329298,3.05,6.38,Flawed democracy,37.4,Klaus Iohannis,President,-2.5125824193772575,-2.4748829890509816
Russia,Russian Federation,Russian ruble,Moscow,Tropical,Europe,Russian,1.7226568078111155,1.308237012236906,2.2293382572155744,2.253239023560613,2.15959437714864,2.097036536594738,1.9473889902962596,-1.023656287774782,0.2284278298573472,2.083225254999904,-0.3647086213891284,-1.2832837934527586,-0.6623934841036326,-0.4991406063357687,-1.191225796198838,0.6272922884062033,0.128710620665213,14.8217,15.7648,49.7126,17.0151,0.946958,0.0910266,-83.6705,92.1429,3.72,1618270.0,617227.0,69231.1,-102409.0,0.697416,7.59624,773.878,7.12,,25.1,1454000.0,7500.0,4.08007,9.6,16.7,1.493,88.2138,69.0,320617,76884903,66670833,143555736,16.2222,35708054,107847682,1.55,2.94,Authoritarian,35.0,Vladimir Putin,President,0.9286385603269064,0.9646372842248423
Rwanda,Republic of Rwanda,Rwandan franc,Kigali,Tropical,Africa,Rwandan,-0.880787134369855,0.144274147105069,-0.6593730314499698,-0.7332205741649663,-0.7397184693496285,-0.7500049187712665,-0.4573882872633478,-0.3108025097299388,-0.5214388642754523,-0.6758138164266075,1.4069504932157797,0.922542535438999,-0.1640974534050833,1.151694888601826,1.0143130373351426,-2.028166454792948,-0.4466543981204166,,,,,,,,,81.39,1382.0,2680.92,2006.21,-173.087,0.0,7.31562,57.4953,1.6,0.34,5.6,35000.0,,1.54532,29.976,6.28,3.821,30.4618,66.0,-6112,7035658,6741039,13776698,61.25,11335329,2441369,1.49,3.35,Authoritarian,15.2,Paul Kagame,President,0.6098470500869345,0.9136094939211037
Samoa,Samoa,Samoan tala,Apia,Tropical,Oceania,Samoan,-1.3671832470835878,-1.8135737472001696,-0.7592528992296542,-0.7445481247641813,-0.7905216670329184,-0.7973931327827247,-0.8912754619814077,-0.12932866391473954,0.5925785596974907,-0.7333158063994886,0.3229337395970857,-0.3913352711261082,1.2815132446952668,0.6147600961839523,-0.3673549031376981,0.539293944102572,-0.4466543981204166,,,,,,,,0.0,37.57,206.5,267.324,50.4944,130.061,1.38843,5.32614,202.434,1.0,,12.6,,,,27.254,5.343,3.93,78.2457,73.0,-882,109007,113375,222382,12.963,183207,39175,4.28,0.0,Unknown,16.7,Tuilaepa Aiono Sailele Malielegaoi,Prime Minister,1.1177365659910496,0.9276353033457745
San Marino,Republic of San Marino,Euro,City of San Marino,Tropical,Europe,Sammarinese,1.0410023990138997,-0.1481022393662816,-0.7619229141370196,-0.7604669348295698,-0.7968343530858444,-0.8041453901784339,-0.8986089129706681,0.9000284572587863,1.3317982928634569,-0.7286026382038876,-1.2748875865728009,-0.27844274682430503,0.1584217097714581,-0.3193988963368328,-0.25961461039409917,0.6272922884062033,-0.4466543981204166,,,,,,,,,,,,,,0.0,8.69089,3937.66,3.8,,,,,,6.2,9.1,1.26,74.8623,,41,17281,16380,33660,33.3333,763,32897,0.0,0.0,Unknown,42.7,Alessandro Mancini,Captain Regent,1.1174707011269112,0.9143715194786461
