country,country_long,currency,capital_city,region,continent,demonym,latitude,longitude,agricultural_land,forest_area,land_area,rural_land,urban_land,central_government_debt_pct_gdp,expense_pct_gdp,gdp,inflation,self_employed_pct,tax_revenue_pct_gdp,unemployment_pct,vulnerable_employment_pct,electricity_access_pct,alternative_nuclear_energy_pct,electricty_production_coal_pct,electricty_production_hydroelectric_pct,electricty_production_gas_pct,electricty_production_nuclear_pct,electricty_production_oil_pct,electricty_production_renewable_pct,energy_imports_pct,fossil_energy_consumption_pct,renewable_energy_consumption_pct,co2_emissions,methane_emissions,nitrous_oxide_emissions,greenhouse_other_emissions,urban_population_under_5m,health_expenditure_pct_gdp,health_expenditure_capita,hospital_beds,hiv_incidence,suicide_rate,armed_forces,internally_displaced_persons,military_expenditure_pct_gdp,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,net_migration,population_female,population_male,population,women_parliament_seats_pct,rural_population,urban_population,press,democracy_score,democracy_type,median_age,political_leader,title
Maldives,Republic of Maldives,Maldivian rufiyaa,Malé,Southern Asia,Asia,Maldivan,-0.6603342199109825,0.8592799071146261,-0.7609638615497645,-0.7604847688110958,-0.7962773513752921,-0.8036024305216722,-0.9008858028124098,-0.5389507875143397,0.15410094148957176,-0.7078424971473095,-1.1133761508723696,-0.7817308906004218,-1.1450505139114049,-0.4600928327268585,-0.7660539813993695,0.6272922884062033,-0.31903080864313427,0.9383655,11.6907,14.80275,0.0,1.708655,1.89142,22.498649999999998,0.0,1.04,1454.0,137.665,9.21871,736.985,18.1547,11.3472,825.569,4.3,0.12,2.7,5000.0,73000.0,1.59489,14.088,3.02,1.692,85.7606,80.0,1189,222471,301315,523787,4.5977,306227,217560,2.43,0.0,Unknown,27.2,Ibrahim Mohamed Solih,President
Mali,Republic of Mali,West African CFA franc,Bamako,Western Africa,Africa,Malian,-0.08295753918536408,-0.4210792445303946,1.5831674786435255,0.556770756210081,2.03489271814817,2.097036536594738,-0.45774799019687973,0.022609222639885514,-1.2584515323822858,-0.6493191174405536,-0.8392709582198475,1.551629062665748,-0.29809372239335424,-0.9143467810222959,1.6127290306242519,-1.7859225420446343,-0.31903080864313427,0.9383655,11.6907,14.80275,0.0,1.708655,1.89142,22.498649999999998,66.4043,63.76,4150.7,23070.5,15086.9,3643.58,0.0,4.30812,35.4516,0.1,0.26,4.1,21000.0,380000.0,2.82195,41.643,9.274,5.956,34.49,59.0,-22236,11186771,11406819,22593590,28.5714,12327741,10265849,2.22,5.41,Hybrid regime,11.3,Ibrahim Boubacar Keïta,President
Malta,Republic of Malta,Euro,Valletta,Southern Europe,Europe,Maltese,0.7078735506382403,-0.11207481729486943,-0.7607373842266695,-0.7605204367741476,-0.7962309345660794,-0.8038664579721276,-0.8535689628323505,0.8970968113006519,1.3305872153186096,-0.6542367683138476,-0.45574469943743307,-0.9617129958542512,1.385858083390585,-0.9034241259713448,-0.9927998732301548,0.6272922884062033,-0.7897379189353516,0.0,0.0,0.0,0.0,92.3254,7.6746,98.3815,97.7885,9.18,1610.7,228.286,47.9722,-657.87,1.8419,10.8352,3135.41,4.49,0.12,6.1,2000.0,73000.0,0.51366,8.5,8.0,1.14,87.4698,83.0,10408,250560,272857,523417,27.8481,26825,496592,2.63,8.21,Full democracy,35.3,Robert Abela,Prime Minister
Marshall Islands,Republic of the Marshall Islands,U.S. dollar,Majuro,Micronesia,Oceania,Marshallese,-0.41888578978936025,1.8554034841046847,-0.7608386730797119,-0.7596346823583602,-0.7965558522305682,-0.803572739966406,-0.9025911068562603,-0.8117376131221955,2.4810663181066905,-0.7352125979351839,-0.16128291973779477,-0.2589999547409623,0.20308937928735762,-0.3035347769965593,-0.2452031355773894,0.6145377048553715,-0.31903080864313427,0.9383655,11.6907,14.80275,0.0,1.708655,1.89142,22.498649999999998,0.0,12.06,110.0,31.911,0.699535,150.149,36.2622,13.008,731.098,2.7,0.12,7.5,30500.0,73000.0,1.59489,19.28,7.556,2.729,38.7012,65.0,-1901,20346,21223,41569,6.06061,8929,32640,0.0,0.0,Unknown,21.6,David Kabua,President
Mauritania,Islamic Republic of Mauritania,Mauritanian ouguiya,Nouakchott,Western Africa,Africa,Mauritanian,0.04301555479113448,-0.554103571974033,1.4955355496067666,-0.7295745157196667,1.595116659262532,1.7340305038192694,-0.7941091760940729,0.022609222639885514,-0.02461635861206387,-0.6884588762557139,0.12458284290580016,0.6184788740674098,-0.12071855825773121,0.8733277623167028,0.5755861757135836,-2.0302900618959216,-0.31903080864313427,0.9383655,11.6907,14.80275,0.0,1.708655,1.89142,22.498649999999998,66.4043,23.44,3847.1,6896.75,3273.34,275.655,19.5398,3.35573,59.0492,0.4,0.13,3.1,21000.0,73000.0,2.37816,33.194,7.44,4.398,58.7582,64.0,-1494,2414911,2321228,4736139,20.2614,2040187,2695952,2.47,3.82,Authoritarian,13.8,Mohamed Ould Ghazouani,President
Mauritius,Republic of Mauritius,Mauritian rupee,Port Louis,Eastern Africa,Africa,Mauritian,-1.6485231569644345,0.6023766747390992,-0.7564343150878644,-0.7567247710393805,-0.7922622973783943,-0.8005335826839652,-0.7637083327075942,0.1767770824659963,0.5157551289004488,-0.6767758085250932,0.33948843311368804,-0.8428407018833536,0.38974726064082804,0.04342014815129961,-0.8195378340614945,0.6065867956288781,-0.9448181637421792,39.4394,4.07074,0.0,0.0,37.8378,18.652,84.5423,84.5424,9.41,3720.2,1973.73,221.869,1217.69,1.18691,6.65996,560.406,3.4,0.54,9.5,3000.0,73000.0,0.169558,10.3,10.5,1.41,67.58,74.0,-478,639989,622533,1262523,20.0,747287,515236,2.75,8.22,Full democracy,33.1,Pravind Jugnauth,Prime Minister
Mexico,United Mexican States,Mexican peso,Mexico City,Central America,Americas,Mexican,0.16898864876763306,-1.8135737472001696,2.2309138905091728,2.2532390235606132,2.1595943771486397,2.097036536594738,1.9473889902962593,-0.5329235926472795,-0.575137923781141,2.0843608725698335,-0.15581014516236627,-0.3533455984576675,-0.347016150973901,-0.7974101210650547,-0.41212929145718175,0.6272922884062033,-0.30933920112562097,10.8659,9.90396,59.8612,3.72086,10.1489,5.49017,-4.66649,90.4262,12.33,383131.0,143481.0,43291.2,57197.3,0.630815,6.24215,538.575,0.98,0.13,5.3,328000.0,386000.0,0.680131,14.857,9.406,1.822,75.6265,70.0,-52649,65309171,62194954,127504125,50.0,23843271,103660854,1.67,6.19,Flawed democracy,25.4,Andrés Manuel López Obrador,President
Micronesia,Federated States of Micronesia,U.S. dollar,Palikir,Micronesia,Oceania,Micronesian,-0.5063671053307578,1.8554034841046847,-0.760076161489392,-0.7541834286719367,-0.7953490151910383,-0.8023932213594824,-0.9029177379291679,-1.7005565149059374,-0.5943231084426015,-0.7345298692435498,-0.5839826775530417,-0.2589999547409623,-1.592353714248741,-0.3035347769965593,-0.2452031355773894,-0.220338822165538,-0.31903080864313427,0.9383655,11.6907,14.80275,0.0,1.708655,1.89142,22.498649999999998,66.4043,2.03,107.5,52.6866,27.5497,150.149,3.34315,11.56,424.839,3.2,0.12,28.2,30500.0,73000.0,1.59489,20.777,6.211,2.711,40.4096,71.0,-635,56777,57387,114164,7.14286,87659,26505,0.0,0.0,Unknown,19.7,David W. Panuelo,President
Moldova,Republic of Moldova,Moldovan leu,Chișinău,Eastern Europe,Europe,Moldovan,1.1767734005796215,0.12764610617461425,-0.6324635874258626,-0.7222724910615529,-0.7206536933017,-0.7270235064760409,-0.4366176724155184,-1.3949705888755821,0.22698734193438885,-0.6697246594341455,2.072286211203936,-0.7315707503163555,0.40832942069313144,-1.0180049191528908,-0.6164184135244644,0.6272922884062033,-0.953565677029681,0.0,5.05664,94.4837,0.0,0.147759,0.311936,90.0111,88.688,23.66,8611.2,3287.2,993.183,11.2256,0.0,6.77933,306.649,5.66,0.3,14.7,6000.0,73000.0,0.411614,12.432,16.36,1.806,61.2878,69.0,-14278,1358183,1234294,2592477,40.5941,1473227,1119250,2.51,5.85,Hybrid regime,31.2,Ion Chicu,Prime Minister
Monaco,Principality of Monaco,Euro,Monaco,Western Europe,Europe,Monegasque,1.0396026981096864,-0.2315195779232097,-0.5409519538944763,-0.7605660125047139,-0.7969688991698687,-0.8042327030988218,-0.9043276456002977,0.022609222639885514,-0.02461635861206387,-0.6966989863460114,-0.16128291973779477,-0.2589999547409623,-0.12071855825773121,-0.3035347769965593,-0.2452031355773894,0.6272922884062033,-0.31903080864313427,0.9383655,11.6907,14.80275,0.0,1.708655,1.89142,22.498649999999998,66.4043,23.555,11693.8,9584.81,3522.99,150.149,7.29873,1.67133,3085.44,13.8,0.12,7.5,30500.0,73000.0,1.59489,5.9,6.6,2.11,86.0955,72.0,206,18596,17872,36469,33.3333,0,36469,0.0,0.0,Unknown,50.5,Albert II,Sovereign Prince
